Id,Word,Zh_meaning
1,abbieg,
4,abbild,
5,abe,
6,aben,
7,abend,
45,abendess,
57,abendzeit,
58,abentev,
59,aber,
151,abfahr,
152,abfahrt,
158,abfall,
159,abfalleim,
160,abflieg,
161,abflug,
163,abgas,
164,abgeb,
171,abgebog,
172,abgefahr,
174,abgegeb,
175,abgehang,
176,abgehob,
177,abgeholt,
180,abgelauf,
181,abgelehnt,
182,abgemacht,
183,abgenomm,
184,abgesagt,
185,abgeschloss,
189,abgeschrieb,
190,abgestimmt,
191,abgewasch,
192,abhang,
194,abheb,
195,abhol,
205,abholt,
206,abitur,
208,ablehn,
209,abmach,
210,abnehm,
212,abonnement,
213,abonni,
214,abonniert,
216,absag,
217,abschied,
220,abschliess,
223,abschluss,
224,abschnitt,
225,abschreib,
226,absend,
231,absenderin,
232,absicht,
234,absolut,
236,abstimm,
237,abteil,
240,abwart,
242,abwartin,
244,abwasch,
245,abwes,
246,abzuhol,
247,abzuschliess,
248,ach,
252,acht,
279,achtet,
281,achtung,
297,achtzig,
298,acrt,
299,adef,
300,adress,
311,ads,
312,aerab,
313,affenhsc,
314,afrika,
315,agata,
316,age,
317,agha,
318,aglich,
319,ahen,
320,ahnlich,
324,ahnung,
328,aktion,
329,aktiv,
333,aktivitat,
334,aktuel,
335,aktuell,
338,akzepti,
340,akzeptiert,
342,alarm,
343,ale,
344,alessandro,
345,alex,
346,alexand,
347,ali,
348,alkohol,
350,alkoholfrei,
351,alkoholsucht,
352,all,
410,allein,
439,allerb,
440,allerding,
441,allerschon,
481,allgemein,
484,allmah,
485,alltag,
488,alphabet,
491,alr,
492,als,
589,also,
604,alsob,
605,alt,
633,altbau,
651,altenheim,
663,alternativ,
666,altersheim,
672,altpapi,
673,amadeo,
674,amira,
675,amp,
676,ampel,
685,amt,
686,amusi,
687,amusiert,
690,analysi,
691,analysiert,
693,anbau,
694,anbiet,
703,and,
730,andererseit,
755,andert,
758,ander,
759,andreas,
760,anerkannt,
761,anerkenn,
762,aneta,
763,anfang,
784,angab,
786,ang,
787,angeb,
788,angebot,
805,angefang,
807,angegeb,
808,angehabt,
809,angehor,
810,angeklickt,
811,angekomm,
814,angekundigt,
815,angemacht,
816,angemeldet,
819,angenehm,
823,angenomm,
824,angeruf,
834,angesagt,
835,angeschafft,
836,angeschloss,
837,angeschnallt,
838,angeseh,
839,angesproch,
840,angestellt,
844,angestrengt,
845,angewendet,
846,angezeigt,
847,angezog,
848,angst,
858,angstlich,
860,anhab,
861,anhalt,
862,anklick,
865,ankomm,
867,ankreuz,
872,ankund,
873,ankunft,
879,anlag,
880,anlass,
881,anleit,
883,anmach,
884,anmeldefrist,
885,anmeld,
910,ann,
911,anna,
912,annah,
913,annehm,
914,annonc,
916,anns,
917,annseou,
918,annst,
920,anprobi,
921,anr,
922,anred,
925,anruf,
932,anrufbeantwort,
950,ans,
956,ansag,
960,anschaff,
961,anschliess,
962,anschluss,
969,anschnall,
970,anseh,
975,ansprech,
976,anspruch,
977,anstell,
979,anstreng,
981,anton,
982,antonio,
983,antrag,
984,antwort,
992,antwortbog,
998,antwortet,
1002,anwalt,
1003,anwaltin,
1004,anwend,
1006,anwes,
1007,anzahl,
1008,anzeig,
1017,anzieh,
1022,anzufang,
1023,anzug,
1031,anzuruf,
1032,anzuschnall,
1033,apartment,
1035,apetar,
1036,apfel,
1045,apfelbaum,
1046,apfelkuch,
1047,apfelsaft,
1050,apothek,
1063,apparat,
1068,appetit,
1078,aprikos,
1080,april,
1081,arabella,
1082,arb,
1083,arbeit,
1217,arbeiterin,
1219,arbeitet,
1252,arbeitnehm,
1255,arbeitsamt,
1256,arbeitsbeding,
1257,arbeitserlaubnis,
1259,arbeitskolleg,
1260,arbeitslos,
1268,arbeitsmarkt,
1269,arbeitsplatz,
1272,arbeitsstell,
1273,arbeitstag,
1274,arbeitstechn,
1275,arbeitsverhaltnis,
1276,arbeitszeit,
1278,architekt,
